Folder,AvgFreq,KappaFull,mean_sb_frac
1,0.56005164571875,0.7335235687460365,0.1121583333333333
2,0.6521698538916667,0.9292049634885186,0.153459375
3,0.6022772382510416,0.7973293099465124,0.1334864583333333
4,0.4671547736989583,0.657151327368155,0.0803677083333333
5,0.6242368074531249,0.9943096328409028,0.13928125
6,0.550610010121875,0.5678240885101031,0.1099479166666666
7,0.6605276875270834,1.2887550123772236,0.1704583333333333
8,0.5019799964833334,0.562864945643482,0.0887697916666666
9,0.5840004569302083,0.7381746004832148,0.1189739583333333
10,0.53466278290625,0.7931646283088375,0.0914916666666666
11,0.5675681719145834,0.6755967022102046,0.1125781249999999
12,0.5330082391479166,0.7664701786550543,0.105115625
13,0.5153093161260417,0.7572674090937167,0.0968645833333333
14,0.5437917466791666,0.678605834370172,0.1117062499999999
15,0.5420545953833332,0.6614183248089336,0.1016625
16,0.4791569484979166,0.5834442561235292,0.0828135416666666
17,0.518858634246875,0.7445876482817445,0.0999520833333333
18,0.5001710506333333,0.6350447983175974,0.101725
19,0.5497107095270833,0.6623405534079136,0.1103395833333333
20,0.52253980243125,0.8845516842593814,0.0999885416666666
21,0.5917592693958333,0.9980041892947156,0.1345697916666667
22,0.6188554122395833,0.8073983920727693,0.1533395833333333
23,0.5858755759,0.8276911245933093,0.1311614583333333
24,0.6257590335083333,0.7498200127376812,0.1408572916666666
25,0.63833809705625,0.9133940867975412,0.1449052083333333
26,0.5424217564020833,0.7251199953198925,0.0996468749999999
27,0.5914534119656251,0.6545760384773758,0.1249552083333333
28,0.5395129704479168,0.5433804714861061,0.0948520833333333
29,0.5990621153020833,0.6969542151716211,0.1279520833333333
30,0.54868692723125,0.730257399391786,0.1150708333333333
31,0.5843944923979167,0.7928483321450552,0.122665625
32,0.5346011868302084,0.6664272672697098,0.096078125
33,0.6143202835364583,0.9338016352540086,0.1317635416666666
34,0.6080072149739583,0.7206067153019052,0.1256583333333333
35,0.6099436738895834,0.7770202017697214,0.1303333333333333
36,0.5711711918645833,0.8289530904523401,0.1254895833333333
37,0.5775650740395833,0.5128232228072206,0.0959427083333333
38,0.548470866465625,0.7104118674379221,0.1022802083333333
39,0.6209949122635416,0.9110695474156748,0.136553125
40,0.5711515239375,0.6094619248382654,0.1155125
41,0.4019790349916667,0.691799474555023,0.0710208333333333
42,0.5416342037062499,0.5988331018359496,0.1011770833333333
43,0.543897535971875,0.5450155768814685,0.1005770833333333
44,0.4439328165322917,0.5862750248826887,0.0709895833333333
45,0.5799597086239584,0.6661162531910169,0.1183375
46,0.5907586760927083,0.7899439297073252,0.1340927083333333
47,0.6107143585041667,0.8565814798236107,0.141803125
48,0.56309001736875,0.7634948182951876,0.1148010416666666
49,0.5992507192458333,0.7893672511073341,0.1274916666666666
50,0.5438165860635417,0.5903352743368147,0.1051333333333333
51,0.5445192614354167,0.6028943287093979,0.1109239583333333
52,0.6054397096072917,0.7571648404743335,0.1397125
53,0.5902113439427082,0.786961561103282,0.1229895833333333
54,0.5733993747572916,0.690380439259434,0.1166052083333333
55,0.5162674835833334,0.4851797657561218,0.0978447916666666
56,0.5806284139083333,0.6727854566319323,0.1238875
57,0.54304970421875,0.6995499985621486,0.1067708333333333
58,0.5732412321020833,0.963048798027572,0.1170312499999999
59,0.518459212653125,0.6169053009549856,0.098903125
60,0.59644710636875,0.8293603441586961,0.1317583333333333
61,0.5791665767427082,0.6475269922390398,0.1148125
62,0.5626423840625,0.6204937450097449,0.1213270833333333
63,0.5906261787083333,0.6221065771939472,0.1215093749999999
64,0.5604280256885416,0.7890199904665708,0.1147614583333333
65,0.581989843296875,0.7409200094502622,0.1200166666666666
66,0.5554655130239584,0.8712373218157323,0.1179625
67,0.641670430709375,0.9283049512883934,0.1577708333333333
68,0.597194050015625,1.00983558426084,0.1388395833333333
69,0.5609688917229166,0.6199896816579539,0.1180916666666666
70,0.6234290526031251,0.9729006314888748,0.142825
71,0.485218764890625,0.6517897252050692,0.0880072916666666
72,0.5142210233229166,0.7044072984760843,0.093571875
73,0.5382300855697917,0.5791811979164596,0.113546875
74,0.5766653477177084,0.9640162132918096,0.1173166666666666
75,0.5582988902104167,0.6649181647546691,0.1091625
76,0.519968063996875,0.7284033543196466,0.1016385416666666
77,0.5432381795166666,0.7204624150250116,0.1106145833333333
78,0.62513850454375,0.7909302301012119,0.1390854166666666
79,0.5007893512479167,0.5991364694488933,0.0924020833333333
80,0.5877895090708334,0.8019178749739393,0.1312677083333333
81,0.5444598365104166,0.704044324951541,0.1140718749999999
82,0.6030373752031251,0.7875297518230855,0.1360770833333333
83,0.4995832689052082,0.7100749706549303,0.0816895833333333
84,0.5655291131458333,0.607189401492816,0.1076677083333333
85,0.652613544975,1.0084340281623525,0.1553041666666666
86,0.5289505156489583,0.584372652864083,0.1033333333333333
87,0.530670802815625,0.8887286438266779,0.1050177083333333
88,0.61767729245,1.0067598810180736,0.141378125
89,0.4699581356885416,0.6205122790868131,0.077415625
90,0.6128472412354167,0.828244627378799,0.1342385416666666
91,0.5238907714093749,0.6206926223728548,0.1035270833333333
92,0.5620976389104166,0.8922962527163046,0.1098833333333333
93,0.5605291822291666,0.6887074140625754,0.1044427083333333
94,0.4330418874718749,0.5900031223619152,0.0626208333333333
95,0.5878656302635417,0.7824355541143564,0.1238041666666666
96,0.4792332415093749,0.7526579577670707,0.07785625
97,0.4643859744458333,0.6768111314110288,0.082340625
98,0.4439191851197916,0.6396175056110649,0.0683760416666666
99,0.5918961211989583,0.7296781921867115,0.1284302083333333
100,0.5115623120854167,0.4758654028939221,0.0910447916666666
101,0.4819118323666666,0.6612141119520476,0.0996083333333333
102,0.5683108213458333,0.5647601271236835,0.1121166666666666
103,0.4372701157781249,0.6214576400024135,0.0650895833333333
104,0.5226505350416667,0.6040415933415506,0.0943249999999999
105,0.5132852764979167,0.4551927878322155,0.095878125
106,0.580528017634375,0.8615222799552722,0.1245270833333333
107,0.5622732375416667,0.6419169325976217,0.1176947916666666
108,0.57337890733125,0.672057246530029,0.124859375
109,0.5238452569958334,0.6833669148441378,0.1131552083333333
110,0.5737742269010417,0.6688191543450736,0.1187333333333333
111,0.5370250637999999,0.7126371254754855,0.10230625
112,0.5494719036833333,0.7453995205457434,0.1093187499999999
113,0.5989798201291667,0.590047456356372,0.1218208333333333
114,0.5706988245625001,0.6545759204840054,0.118925
115,0.565174743725,0.6652216092500003,0.1135385416666666
116,0.5742555513666666,0.7968569617170272,0.1268958333333333
117,0.5497056813437501,0.8776608552135273,0.11385
118,0.554695587540625,0.5378723360789075,0.108240625
119,0.5970506703010416,0.7543695541643196,0.1240520833333333
120,0.56547641298125,0.8205399078722175,0.1208343749999999
121,0.5794551066520833,0.823290660535297,0.1242114583333333
122,0.5113419064291667,0.7595311969895577,0.0932239583333333
123,0.5668045037864583,0.699650970010907,0.119059375
124,0.624432492828125,0.8609936173243753,0.1402958333333333
125,0.5435382566281249,0.7684848849372952,0.1044802083333333
126,0.535374861984375,0.6282847508845236,0.1130729166666666
127,0.497215681015625,0.6486731050666515,0.0864177083333333
128,0.6112673146729167,0.8256215732200055,0.141509375
129,0.5599436102854166,0.5909727140629382,0.1082927083333333
130,0.416984866865625,0.6631709323516786,0.0694479166666666
131,0.5344559406364583,0.6702565173864884,0.10088125
132,0.625844292628125,0.8759856902499035,0.1447291666666667
133,0.493383475965625,0.7446853714391934,0.0888375
134,0.5712739410229167,0.7882892258050213,0.1243447916666666
135,0.53071019956875,0.5136984701685001,0.1076927083333333
136,0.4687690742958333,0.6503276477127802,0.08604375
137,0.6019750467989583,0.716889024279538,0.1207572916666666
138,0.6282880768479168,0.9068823490660852,0.13675625
139,0.5749342841749999,0.6966158143563663,0.1212270833333333
140,0.5587522912895834,0.5246085515952358,0.0982239583333333
141,0.5670182319354167,0.6320158426525319,0.1046677083333333
142,0.612798029975,0.8005127297562614,0.1410979166666666
143,0.5420234219885417,0.61362155883378,0.1009552083333333
