Folder,avg_PR_band1_3
1,0.543640128260924
2,0.6477703561349228
3,0.566133908359609
4,0.4201947203597131
5,0.5935995276783145
6,0.4331775114205685
7,0.6506009567709733
8,0.3941761712977394
9,0.5610498387889642
10,0.3896938241708853
11,0.4738503882036929
12,0.4455914614192915
13,0.4647042362055152
14,0.5108112622281954
15,0.497963139703286
16,0.3471427649535163
17,0.495365394712967
18,0.4889298852869715
19,0.448604890273828
20,0.4673900630417669
21,0.5498631600992928
22,0.6143196668549057
23,0.6171410199869696
24,0.5785763981755461
25,0.5721505198413156
26,0.4518284849277028
27,0.5462774100353194
28,0.3882854430498064
29,0.5007313057711453
30,0.5646337947502372
31,0.5694375681034209
32,0.4118305001505543
33,0.5649192107385664
34,0.5477603013718149
35,0.5278294716862483
36,0.5716785339112408
37,0.3659700105524456
38,0.4287136834071361
39,0.5326894133889942
40,0.5017136597570134
41,0.2560632840700702
42,0.4749360397696052
43,0.393799603217734
44,0.352256134125587
45,0.4830703723588121
46,0.5940342031006146
47,0.560747989260726
48,0.5158369370526126
49,0.5928149579967822
50,0.4735239881078862
51,0.4559011318015711
52,0.5855504994982671
53,0.5493396730943004
54,0.4980064396387254
55,0.4245327887984189
56,0.5372941252237547
57,0.4663118946092319
58,0.5009550447572285
59,0.4014280720492085
60,0.5604196002323865
61,0.4976433245061225
62,0.5215675007620598
63,0.4726020628470497
64,0.4960099907615247
65,0.5327144895159016
66,0.5245041136481473
67,0.6906105742031584
68,0.65578611855003
69,0.4914290231013747
70,0.5759510292891488
71,0.3914275588780816
72,0.4120609426609955
73,0.4624431629364298
74,0.4793816935400001
75,0.4491079258881258
76,0.4644587117795815
77,0.5273893945044694
78,0.595772883400986
79,0.4288807680244793
80,0.6144629570550914
81,0.5021329858159648
82,0.6249990227933182
83,0.3500931571228612
84,0.4519865997790135
85,0.6497768283398431
86,0.4440318424519745
87,0.3593839168067325
88,0.6544690814090898
89,0.4055116197769419
90,0.5011560617511781
91,0.4620917757921717
92,0.4251565659583964
93,0.3706767051140695
94,0.3001664329476559
95,0.4921767192807906
96,0.3751055476367113
97,0.3355663788670746
98,0.3521700917086994
99,0.5381147699343963
100,0.4174661163405417
101,0.4467732681429693
102,0.4641269574600101
103,0.3766425795134567
104,0.455515319909336
105,0.4339498400618543
106,0.5685219984112795
107,0.4940430534434181
108,0.5244610938706535
109,0.4923639738128651
110,0.5319581810188577
111,0.475194306793475
112,0.4713587478553727
113,0.500946990546904
114,0.5354581498248955
115,0.4562045114881234
116,0.6089589437561412
117,0.5670632557143137
118,0.4447865616972725
119,0.5490869462796014
120,0.5569070134996387
121,0.5225763003075992
122,0.4517027915145191
123,0.5721031389839696
124,0.5588424503733916
125,0.4634650013254658
126,0.4905235534062759
127,0.4053130231295587
128,0.6178353497216891
129,0.5165353725146589
130,0.2579016649414234
131,0.4339027803025326
132,0.6651562935706049
133,0.398408514489928
134,0.5553677610436637
135,0.386643679618452
136,0.4239933719577145
137,0.4910131846871882
138,0.5667970796048193
139,0.5522215004041401
140,0.3927395900587931
141,0.4425038559250263
142,0.5800099432045269
143,0.4678302355941053
144,0.5408351378842703
